CU ,year,spwn,spwn_cv,harv,SMU
Upper Nass,1994,20478,0.188055474,14726,Nass
Upper Nass,1995,8067,0.24184951,11283,Nass
Upper Nass,1996,18476,0.264126434,16413,Nass
Upper Nass,1997,17868,0.122397582,13548,Nass
Upper Nass,1998,21215,0.132264907,18451,Nass
Upper Nass,1999,10985,0.136731907,13978,Nass
Upper Nass,2000,15500,0.207483871,12138,Nass
Upper Nass,2001,24567,0.121911507,14026,Nass
Upper Nass,2002,12398,0.199790289,11770,Nass
Upper Nass,2003,26531,0.198220949,14283,Nass
Upper Nass,2004,11954,0.239585076,13268,Nass
Upper Nass,2005,11641,0.205480629,10366,Nass
Upper Nass,2006,19938,0.176898385,13510,Nass
Upper Nass,2007,17030,0.189371697,11857,Nass
Upper Nass,2008,18262,0.223031431,6428,Nass
Upper Nass,2009,22816,0.172379032,8632,Nass
Upper Nass,2010,15934,0.378624325,6376,Nass
Upper Nass,2011,9812,0.110578883,7944,Nass
Upper Nass,2012,8522,0.074747712,6027,Nass
Upper Nass,2013,8057,0.10475363,6094,Nass
Upper Nass,2014,11786,0.169098931,9130,Nass
Upper Nass,2015,16571,0.126365337,11737,Nass
Upper Nass,2016,9415,0.130323951,7486,Nass
Upper Nass,2017,4812,0.257689111,5321,Nass
Upper Nass,2018,14913,0.232548783,6255,Nass
Upper Nass,2019,9540,0.12672956,7259,Nass
Upper Nass,2020,10636,0.102106055,6085,Nass
Upper Nass,2021,10627,0.08506634,6559,Nass
Upper Nass,2022,12227,0.136337613,4475,Nass
Upper Nass,2023,8442,0.116204691,3786,Nass
Upper Nass,2024,10519,0.132522103,6245,Nass
Upper Nass,2025,8896,0.098920863,5358,Nass
Middle Nass,1994,3933,0.373760488,2828,Nass
Middle Nass,1995,1719,0.39965096,2404,Nass
Middle Nass,1996,3510,0.411111111,3118,Nass
Middle Nass,1997,3493,0.435156026,2648,Nass
Middle Nass,1998,4033,0.446317878,3508,Nass
Middle Nass,1999,2225,0.442696629,2831,Nass
Middle Nass,2000,3170,0.391798107,2482,Nass
Middle Nass,2001,5317,0.436524356,3036,Nass
Middle Nass,2002,2521,0.395874653,2393,Nass
Middle Nass,2003,5016,0.381180223,2700,Nass
Middle Nass,2004,2401,0.359850062,2665,Nass
Middle Nass,2005,2333,0.34462066,2077,Nass
Middle Nass,2006,4062,0.364352536,2752,Nass
Middle Nass,2007,4255,0.212925969,2962,Nass
Middle Nass,2008,3401,0.413995884,1197,Nass
Middle Nass,2009,4451,0.363513817,1684,Nass
Middle Nass,2010,2235,0.44966443,894,Nass
Middle Nass,2011,1273,0.41162608,1031,Nass
Middle Nass,2012,1202,0.34359401,850,Nass
Middle Nass,2013,1596,0.218671679,1207,Nass
Middle Nass,2014,2555,0.258708415,1979,Nass
Middle Nass,2015,3497,0.452101802,2477,Nass
Middle Nass,2016,1953,0.511520737,1553,Nass
Middle Nass,2017,1202,0.373544093,1329,Nass
Middle Nass,2018,3247,0.316291962,1362,Nass
Middle Nass,2019,2449,0.23764802,1864,Nass
Middle Nass,2020,2590,0.258301158,1482,Nass
Middle Nass,2021,1632,0.303308824,1007,Nass
Middle Nass,2022,2383,0.279479648,872,Nass
Middle Nass,2023,1908,0.264150943,856,Nass
Middle Nass,2024,2281,0.234107847,1354,Nass
Middle Nass,2025,1830,0.443169399,1102,Nass
Lower Nass,1992,2053.328435,,1312,Nass
Lower Nass,1993,2293.259602,,1462,Nass
Lower Nass,1994,5777.648147,,3109,Nass
Lower Nass,1995,1690.492585,,1147,Nass
Lower Nass,1996,2124.606127,,1305,Nass
Lower Nass,1997,2996.932402,,1633,Nass
Lower Nass,1998,2804.379022,,1655,Nass
Lower Nass,1999,1960.154882,,1302,Nass
Lower Nass,2000,2619.762143,,862,Nass
Lower Nass,2001,4934.837177,,1190,Nass
Lower Nass,2002,2064.753163,,1315,Nass
Lower Nass,2003,2968.93864,,1074,Nass
Lower Nass,2004,1841.932595,,1607,Nass
Lower Nass,2005,2546.645007,,1104,Nass
Lower Nass,2006,5575.339434,,1918,Nass
Lower Nass,2007,3762.33452,,1565,Nass
Lower Nass,2008,2994.480257,,987,Nass
Lower Nass,2009,4077.180252,,739,Nass
Lower Nass,2010,2348.003143,,332,Nass
Lower Nass,2011,1623.954846,,533,Nass
Lower Nass,2012,1845.34094,,561,Nass
Lower Nass,2013,1915.395417,,496,Nass
Lower Nass,2014,2218.889082,,556,Nass
Lower Nass,2015,2952.569697,,705,Nass
Lower Nass,2016,1695.558282,,415,Nass
Lower Nass,2017,891.3966183,,369,Nass
Lower Nass,2018,2751.901378,,264,Nass
Lower Nass,2019,2890.840982,,474,Nass
Lower Nass,2020,1973.725096,,222,Nass
Lower Nass,2021,1487.840569,,214,Nass
Lower Nass,2022,5258.803145,,419,Nass
Lower Nass,2023,2396.506677,,211,Nass
Lower Nass,2024,5507.425526,,477,Nass
Lower Nass,2025,15029.31575,,1256,Nass
