CU ,year,spwn,spwn_cv,harv,SMU
Upper Nass,1994,19706,0.188055474,14171,Nass
Upper Nass,1995,7466,0.24184951,10442,Nass
Upper Nass,1996,18212,0.264126434,16178,Nass
Upper Nass,1997,17879,0.122397582,13556,Nass
Upper Nass,1998,20875,0.132264907,18156,Nass
Upper Nass,1999,10844,0.136731907,13799,Nass
Upper Nass,2000,14915,0.207483871,11680,Nass
Upper Nass,2001,24024,0.121911507,13716,Nass
Upper Nass,2002,11839,0.199790289,11239,Nass
Upper Nass,2003,25724,0.198220949,13848,Nass
Upper Nass,2004,11336,0.239585076,12582,Nass
Upper Nass,2005,10777,0.205480629,9596,Nass
Upper Nass,2006,18519,0.176898385,12548,Nass
Upper Nass,2007,16385,0.189371697,11408,Nass
Upper Nass,2008,17646,0.223031431,6211,Nass
Upper Nass,2009,22049,0.172379032,8342,Nass
Upper Nass,2010,15566,0.378624325,6229,Nass
Upper Nass,2011,9282,0.110578883,7515,Nass
Upper Nass,2012,8179,0.074747712,5784,Nass
Upper Nass,2013,7746,0.10475363,5859,Nass
Upper Nass,2014,11354,0.169098931,8796,Nass
Upper Nass,2015,16035,0.126365337,11357,Nass
Upper Nass,2016,9068,0.130323951,7210,Nass
Upper Nass,2017,4592,0.257689111,5078,Nass
Upper Nass,2018,14640,0.232548783,6141,Nass
Upper Nass,2019,9265,0.12672956,7050,Nass
Upper Nass,2020,10239,0.102106055,5857,Nass
Upper Nass,2021,10134,0.08506634,6254,Nass
Upper Nass,2022,12027,0.136337613,4402,Nass
Upper Nass,2023,7851,0.116204691,3521,Nass
Upper Nass,2024,10197,0.132522103,6053,Nass
Upper Nass,2025,8530,0.098920863,5138,Nass
Middle Nass,1994,3933,0.373760488,2828,Nass
Middle Nass,1995,1719,0.39965096,2404,Nass
Middle Nass,1996,3510,0.411111111,3118,Nass
Middle Nass,1997,3493,0.435156026,2648,Nass
Middle Nass,1998,4033,0.446317878,3508,Nass
Middle Nass,1999,2225,0.442696629,2831,Nass
Middle Nass,2000,3170,0.391798107,2482,Nass
Middle Nass,2001,5317,0.436524356,3036,Nass
Middle Nass,2002,2521,0.395874653,2393,Nass
Middle Nass,2003,5016,0.381180223,2700,Nass
Middle Nass,2004,2401,0.359850062,2665,Nass
Middle Nass,2005,2333,0.34462066,2077,Nass
Middle Nass,2006,4062,0.364352536,2752,Nass
Middle Nass,2007,4255,0.212925969,2962,Nass
Middle Nass,2008,3401,0.413995884,1197,Nass
Middle Nass,2009,4451,0.363513817,1684,Nass
Middle Nass,2010,2235,0.44966443,894,Nass
Middle Nass,2011,1273,0.41162608,1031,Nass
Middle Nass,2012,1202,0.34359401,850,Nass
Middle Nass,2013,1596,0.218671679,1207,Nass
Middle Nass,2014,2555,0.258708415,1979,Nass
Middle Nass,2015,3497,0.452101802,2477,Nass
Middle Nass,2016,1953,0.511520737,1553,Nass
Middle Nass,2017,1202,0.373544093,1329,Nass
Middle Nass,2018,3247,0.316291962,1362,Nass
Middle Nass,2019,2449,0.23764802,1864,Nass
Middle Nass,2020,2590,0.258301158,1482,Nass
Middle Nass,2021,1632,0.303308824,1007,Nass
Middle Nass,2022,2383,0.279479648,872,Nass
Middle Nass,2023,1908,0.264150943,856,Nass
Middle Nass,2024,2281,0.234107847,1354,Nass
Middle Nass,2025,1830,0.443169399,1102,Nass
Lower Nass,1992,2053,,1312,Nass
Lower Nass,1993,2293,,1462,Nass
Lower Nass,1994,5778,,3109,Nass
Lower Nass,1995,1690,,1147,Nass
Lower Nass,1996,2125,,1305,Nass
Lower Nass,1997,2997,,1633,Nass
Lower Nass,1998,2804,,1655,Nass
Lower Nass,1999,1960,,1302,Nass
Lower Nass,2000,2620,,862,Nass
Lower Nass,2001,4935,,1190,Nass
Lower Nass,2002,2065,,1315,Nass
Lower Nass,2003,2969,,1074,Nass
Lower Nass,2004,1842,,1607,Nass
Lower Nass,2005,2547,,1104,Nass
Lower Nass,2006,5575,,1918,Nass
Lower Nass,2007,3762,,1565,Nass
Lower Nass,2008,2994,,987,Nass
Lower Nass,2009,4077,,739,Nass
Lower Nass,2010,2348,,332,Nass
Lower Nass,2011,1624,,533,Nass
Lower Nass,2012,1845,,561,Nass
Lower Nass,2013,1915,,496,Nass
Lower Nass,2014,2219,,556,Nass
Lower Nass,2015,2953,,705,Nass
Lower Nass,2016,1696,,415,Nass
Lower Nass,2017,891,,369,Nass
Lower Nass,2018,2752,,264,Nass
Lower Nass,2019,2891,,474,Nass
Lower Nass,2020,1974,,222,Nass
Lower Nass,2021,1488,,214,Nass
Lower Nass,2022,5259,,419,Nass
Lower Nass,2023,2397,,211,Nass
Lower Nass,2024,5507,,477,Nass
Lower Nass,2025,15029,,1256,Nass
