"CU","year","spwn","spwn_cv","harv","SMU"
"Upper Nass",1994,21801.6083016707,0.373760488,15677.7164651678,"Nass"
"Upper Nass",1995,8364.00783832235,0.39965096,11697.7729658235,"Nass"
"Upper Nass",1996,20068.7231322823,0.411111111,17827.3677175453,"Nass"
"Upper Nass",1997,19738.8695113326,0.435156026,14965.7795976808,"Nass"
"Upper Nass",1998,23063.2694116736,0.446317878,20059.5257963103,"Nass"
"Upper Nass",1999,12017.7255572157,0.442696629,15292.2776047515,"Nass"
"Upper Nass",2000,16591.2980980569,0.391798107,12992.3120632945,"Nass"
"Upper Nass",2001,26912.91917555,0.436524356,15365.7074410829,"Nass"
"Upper Nass",2002,13148.982567913,0.395874653,12482.3767664199,"Nass"
"Upper Nass",2003,28299.7840842848,0.381180223,15234.3795389312,"Nass"
"Upper Nass",2004,12601.9140515878,0.359850062,13987.1430111785,"Nass"
"Upper Nass",2005,11993.3062930393,0.34462066,10678.7081890654,"Nass"
"Upper Nass",2006,20686.9274337304,0.364352536,14016.6507123722,"Nass"
"Upper Nass",2007,18556.3955774148,0.212925969,12919.3509906711,"Nass"
"Upper Nass",2008,19465.9574071183,0.413995884,6851.51387237766,"Nass"
"Upper Nass",2009,24415.330787887,0.363513817,9237.28703695681,"Nass"
"Upper Nass",2010,16008.5004966261,0.44966443,6405.73838758875,"Nass"
"Upper Nass",2011,9699.2759068675,0.41162608,7853.15129323445,"Nass"
"Upper Nass",2012,8425.88722433266,0.34359401,5958.56900609986,"Nass"
"Upper Nass",2013,8559.24054954636,0.218671679,6473.94495002083,"Nass"
"Upper Nass",2014,12481.3816511902,0.258708415,9669.05509321838,"Nass"
"Upper Nass",2015,17900.4200620507,0.452101802,12678.3949999185,"Nass"
"Upper Nass",2016,10128.4301830577,0.511520737,8053.30130606433,"Nass"
"Upper Nass",2017,5102.28058150723,0.373544093,5642.09728783515,"Nass"
"Upper Nass",2018,16276.055377417,0.316291962,6827.26245299713,"Nass"
"Upper Nass",2019,10788.6961274391,0.23764802,8209.87171589484,"Nass"
"Upper Nass",2020,12001.1734007048,0.258301158,6865.43078866415,"Nass"
"Upper Nass",2021,11197.2212557286,0.303308824,6909.99690105775,"Nass"
"Upper Nass",2022,13562.5266816358,0.279479648,4963.82829416707,"Nass"
"Upper Nass",2023,9285.46222428768,0.264150943,4164.61401329103,"Nass"
"Upper Nass",2024,11554.7694827257,0.234107847,6858.96598481721,"Nass"
"Upper Nass",2025,9614.92897200388,0.443169399,5791.23134993284,"Nass"
