"BroodYear","S_lwr","S_med","S_upr","R_lwr","R_med","R_upr","CU"
1984,6388.31,10678.77,16931.2,20496.58,25546.43,31935.57,"Kitsumkalum"
1985,5819.56,10099.32,16355.23,9331.79,11901.35,15148.3,"Kitsumkalum"
1986,5680.73,9336.47,14602.42,13979.73,17697.94,22340.09,"Kitsumkalum"
1987,8326.44,13217.76,19995.07,18168.82,22714.94,28340.94,"Kitsumkalum"
1988,8287.76,13078.5,19870.63,17020.76,21304.29,26713.82,"Kitsumkalum"
1989,9129.08,14233.57,21349.2,9074.95,11672.69,14910.41,"Kitsumkalum"
1990,6338.69,10457.57,16519.07,9681.67,12165.86,15471.55,"Kitsumkalum"
1991,4984.17,8136.42,12833.06,9892.27,12496.51,15890.63,"Kitsumkalum"
1992,6495.19,10985.53,17481.94,5979.65,7773.19,10124.67,"Kitsumkalum"
1993,6621.85,10827.75,16943.18,9197.46,11663.23,14838.68,"Kitsumkalum"
1994,6186.8,10050.2,15747.66,9064.81,11436.34,14344.76,"Kitsumkalum"
1995,4598.03,7358.96,11497.35,21609.61,26417.26,32336.63,"Kitsumkalum"
1996,5062.08,7929.28,12232.88,23150.81,28804.39,35960.81,"Kitsumkalum"
1997,3084.33,5143.56,8440.48,10452.31,13391.5,17144.91,"Kitsumkalum"
1998,4594.7,7254.49,11236.88,30234.33,37470.8,46898.92,"Kitsumkalum"
1999,4455.26,7362.61,12035.39,9440.01,12251.65,15848.05,"Kitsumkalum"
2000,6468.21,10159,15508.3,20077.15,24958.91,31591.08,"Kitsumkalum"
2001,7718.97,12818.38,20545.67,7870.65,10062.43,12869.59,"Kitsumkalum"
2002,6282.63,9854.51,14887.81,18935.37,23500.84,29383.85,"Kitsumkalum"
2003,8154.16,14398.76,22905.11,5718.34,7405.88,9503.71,"Kitsumkalum"
2004,8785.41,13665.79,20367.23,10918.82,13913.5,17590.76,"Kitsumkalum"
2005,5447.45,9691.65,16959.85,5658.37,7306.6,9407.09,"Kitsumkalum"
2006,5028.89,8167.63,12747.96,16518.65,20368.44,25152.99,"Kitsumkalum"
2007,5313.29,8888.56,14634.55,7091.74,9113.02,11788.56,"Kitsumkalum"
2008,4268.57,6908.71,10781.56,11386.08,14575.89,18995.86,"Kitsumkalum"
2009,3879.77,6555.89,10654.44,6791.38,8958.66,11882.52,"Kitsumkalum"
2010,5365.31,8331.8,12646.95,18325.01,23572.31,30892.71,"Kitsumkalum"
2011,4418.89,7155.09,11374.5,11480.22,14916.58,20122.35,"Kitsumkalum"
2012,3274.69,5645.32,9985.64,4834.56,6261.71,8185.55,"Kitsumkalum"
2013,4908.67,8349.85,14432.42,4445.37,5846.43,7762.67,"Kitsumkalum"
2014,5779.09,9145.31,14012.34,9969.7,12924.39,16791.3,"Kitsumkalum"
2015,5632.72,10846,19500.49,3302.05,4473.97,6077.22,"Kitsumkalum"
2016,4494.3,7775.17,13516.14,4574.42,6021.96,7971.14,"Kitsumkalum"
2017,2086.92,3513.31,5982.41,3360.69,4499.27,6030.31,"Kitsumkalum"
2018,4906.93,7650.57,11633.86,10599.13,13990.38,18713.89,"Kitsumkalum"
2019,2907.64,4888.49,8586.6,3421.78,5356.91,8775.38,"Kitsumkalum"
2020,3543.26,5532,8562.18,8574.3,14647.77,25582.09,"Kitsumkalum"
1984,12574.73,21680.14,35053.51,75444.38,91972.38,112001.82,"Large Lakes"
1985,7472.13,13114.37,23276.14,12537.45,16564.64,21623.35,"Large Lakes"
1986,8545,14513.73,24174.56,63080.08,76810.63,93932.7,"Large Lakes"
1987,21367.78,33611.96,51325.62,74679.75,91898.89,113857.77,"Large Lakes"
1988,15726.96,25320.54,39672.28,72674.33,89850.9,111565.45,"Large Lakes"
1989,20487.87,33447.88,52214.44,47996.13,59843.08,75191.72,"Large Lakes"
1990,9052.18,15277.63,24942.88,39762.57,49491.39,62196.31,"Large Lakes"
1991,13077.12,21355.86,34121.15,81461.25,100522.22,124473.58,"Large Lakes"
1992,22090,36510.94,58076.6,31217.74,39564.87,50498.09,"Large Lakes"
1993,24522.77,39522.31,62449.8,31953.69,39933.45,49819.55,"Large Lakes"
1994,20277.2,31924.62,50362.75,32305.14,40540.98,51031.4,"Large Lakes"
1995,16970.46,27210.59,42674.11,48757.56,60376.01,75029.41,"Large Lakes"
1996,23382.28,36591.56,56058.56,69081.27,85716.32,107476.57,"Large Lakes"
1997,11636.55,19644.51,33150.03,20222.62,26151.38,33794.27,"Large Lakes"
1998,12609.51,20182.3,31621.66,74735.15,93037.36,118497.79,"Large Lakes"
1999,10276.21,17138.41,28421.35,24215.6,31416.13,40534.15,"Large Lakes"
2000,15887.66,25559.06,40268.31,67631.03,83517.83,103622.91,"Large Lakes"
2001,16452.91,28237.37,46903.15,20039.01,25992.69,33814.52,"Large Lakes"
2002,10584.07,17588.38,28172.22,53109.01,65717.12,82677.27,"Large Lakes"
2003,16048.71,29542.73,54448.09,13470.04,17581.99,23044.2,"Large Lakes"
2004,21594.16,33404.87,50660.86,53234.8,66240.11,84060.11,"Large Lakes"
2005,14954.26,25120.04,41493.73,23010.64,29553.65,38144.83,"Large Lakes"
2006,11972.05,19257.24,30603.64,33978.77,42224.6,52780.76,"Large Lakes"
2007,10786.06,18543.39,33050.45,12085.06,15382.61,19499.7,"Large Lakes"
2008,8266.62,14005.37,23449.91,13832.4,17571.69,22825.26,"Large Lakes"
2009,13675.34,23707.47,41317.44,12271.38,15984.87,21080.93,"Large Lakes"
2010,14453.83,22816.41,35368.85,35601.79,44344.65,56730.04,"Large Lakes"
2011,8443.4,13961.06,22741.05,22748.36,28811.95,36677.38,"Large Lakes"
2012,4493.77,7443.65,11945.92,11870.96,14982.53,18636.78,"Large Lakes"
2013,5758.38,9356.51,15091.22,8518.54,10888.23,14014.23,"Large Lakes"
2014,9865.64,15748.97,25028.57,20677.29,25938.85,32833.7,"Large Lakes"
2015,9418.09,15906.67,28371.53,7902.27,10392.01,13732.37,"Large Lakes"
2016,6913.4,11178.7,17944.12,13389.35,17177.77,22061.41,"Large Lakes"
2017,3715.16,5961.69,9535.65,12758.13,16332.81,20914.82,"Large Lakes"
2018,7144.45,11120.58,17214.63,19379.07,24955.68,32642.03,"Large Lakes"
2019,4801.1,8044.61,13406.39,8044.82,11388.96,16792.04,"Large Lakes"
2020,6039.91,9654.63,15211.59,23137.75,38293.84,69034.17,"Large Lakes"
1994,2586.17,4089.99,6451.08,2018.03,2568.38,3259.65,"Lower Nass"
1995,1444.65,2285.56,3442.77,2444.91,3051.09,3813.03,"Lower Nass"
1996,1852.99,2790.19,4014.62,4177.98,5200.94,6568.9,"Lower Nass"
1997,1874.56,2968.13,4458.11,2198.8,2782.42,3519.06,"Lower Nass"
1998,1839.2,2736.08,3980.06,3823.09,4714.47,5910.02,"Lower Nass"
1999,1047.76,1652.59,2506.2,1820.36,2307.75,2946.68,"Lower Nass"
2000,1876.22,2690.97,3744.67,3843.37,4745.77,5950.96,"Lower Nass"
2001,2108.82,3047.62,4274.84,2996.3,3793.97,4856.35,"Lower Nass"
2002,1543.71,2303.25,3289.66,4480.21,5663.13,7172.71,"Lower Nass"
2003,1477.71,2322.66,3527.46,1723.32,2242.93,2984.99,"Lower Nass"
2004,1337.17,1998.25,2877.99,3328.86,4261.51,5542.09,"Lower Nass"
2005,1745.27,2625.47,3882.88,1807.72,2336.82,3013.47,"Lower Nass"
2006,2004.5,2979.36,4294.99,1922.01,2434.11,3106.42,"Lower Nass"
2007,1835.67,2750.16,3971.09,1879.57,2396.42,3098.71,"Lower Nass"
2008,1336.38,2115.91,3373.29,1047.81,1363.51,1779.57,"Lower Nass"
2009,1835.16,2612.41,3728.51,1968.46,2524.38,3193.26,"Lower Nass"
2010,1579.97,2189.62,2984.86,2692.78,3470.49,4467.76,"Lower Nass"
2011,1237.14,1782.09,2513.99,2036.36,2624.58,3390.67,"Lower Nass"
2012,822.35,1276.09,1991.14,730.52,972.81,1286.48,"Lower Nass"
2013,1074.29,1544.85,2181.42,1776.05,2330.29,3051.44,"Lower Nass"
2014,1524.99,2196.1,3082.97,2195.42,2861.34,3714.46,"Lower Nass"
2015,1503.85,2231.41,3214.18,1803.01,2358.28,3065.27,"Lower Nass"
2016,1098.81,1575.36,2215.37,2546.74,3320.59,4310.24,"Lower Nass"
2017,803.58,1216.04,1812.66,1602.15,2088.96,2721.92,"Lower Nass"
2018,1567.38,2203.55,3042.31,2632.1,3431.49,4541.83,"Lower Nass"
2019,1532.13,2177.41,3071.02,3251.35,4370.29,6035.28,"Lower Nass"
2020,1791.94,2502.43,3405.67,5751.79,8069.78,11656.13,"Lower Nass"
2021,1650.39,2294.63,3112.37,4340.7,6944.49,11663.35,"Lower Nass"
1984,859.31,1511.2,2637.62,4359.49,5527.37,6981.03,"Lower Skeena"
1985,1464.24,2480.58,4336.66,1702.51,2216.53,2906.16,"Lower Skeena"
1986,1256.82,2152.72,3549.5,7307.76,9075.23,11326.65,"Lower Skeena"
1987,3074.81,4962.31,7764.9,5714.27,7249.62,9252.86,"Lower Skeena"
1988,1580.56,2637.3,4314.92,3518.27,4465.44,5739.77,"Lower Skeena"
1989,1788.66,2898.62,4664.76,3676.56,4689.81,5956.51,"Lower Skeena"
1990,1332.51,2225.98,3607.29,3106.23,3933.61,4997.54,"Lower Skeena"
1991,1939.5,3128.28,4958.14,7103.57,8967.78,11398.34,"Lower Skeena"
1992,2601.48,4335.21,7028.89,2757.16,3561.33,4666.43,"Lower Skeena"
1993,1984.44,3251.3,5228.43,3778.43,4740.84,5965.68,"Lower Skeena"
1994,1292.26,2133.76,3436.22,3594.9,4559.33,5771.39,"Lower Skeena"
1995,1785.68,2888.04,4533.26,8315.57,10372.63,12844.83,"Lower Skeena"
1996,2662.12,4229.06,6553.12,14241.14,17749.73,22271.6,"Lower Skeena"
1997,1406.47,2342.9,3837.89,4080.63,5243.57,6724.09,"Lower Skeena"
1998,1747.77,2795.14,4304.24,9472.13,11765.16,14852.31,"Lower Skeena"
1999,1507.76,2550.69,4529.77,933.59,1339.31,1913.67,"Lower Skeena"
2000,3087.91,4951,7866.82,5641.89,7010.82,8715.67,"Lower Skeena"
2001,3773.28,6330.43,10350.8,3720.64,4801.39,6170.67,"Lower Skeena"
2002,1999.97,3249.25,5217.73,10726.04,13306.26,16813.98,"Lower Skeena"
2003,2964.92,4783.2,7648,3633.68,4660.17,6050.42,"Lower Skeena"
2004,2546.53,3999.09,6295.38,3957.55,4973.89,6308.68,"Lower Skeena"
2005,1334.29,2254.92,3763.52,2484.57,3153.37,4074.27,"Lower Skeena"
2006,2343.37,3810.21,6125.06,3735.92,4622.18,5780.04,"Lower Skeena"
2007,2132.59,3805.12,6777.9,1440.46,1857.87,2410.32,"Lower Skeena"
2008,1936.03,3186.9,5141.17,3605.73,4662.2,6342.48,"Lower Skeena"
2009,1382.07,2277.13,3820.57,1315.36,1742.24,2341.31,"Lower Skeena"
2010,1790.17,2829.19,4433.6,3846.65,4889.53,6323.56,"Lower Skeena"
2011,728.54,1213.16,2065.32,793.77,1061.27,1412.89,"Lower Skeena"
2012,934.83,1526.87,2463.49,2195.98,2751.13,3492.92,"Lower Skeena"
2013,1401.36,2344.06,4129.68,887.85,1178.17,1585.45,"Lower Skeena"
2014,1346.07,2154.67,3463.54,2544.19,3256.18,4213.73,"Lower Skeena"
2015,1117.2,1829.24,3149.11,608.93,822.68,1112.86,"Lower Skeena"
2016,485.51,817.27,1341.08,876.62,1168.6,1569.34,"Lower Skeena"
2017,610.27,1018.69,1696.2,598.44,824.51,1153.17,"Lower Skeena"
2018,1457.44,2264.64,3488.02,4139.6,5520.72,7627.29,"Lower Skeena"
2019,542.29,909.27,1508.76,732.6,1167.13,1909.73,"Lower Skeena"
2020,834.03,1311.96,2024.97,1867.6,3481.15,6955.11,"Lower Skeena"
1994,2698.71,4057.36,5993.4,3200.78,4053.89,5067.84,"Middle Nass"
1995,1380.32,2140.93,3212.14,3843.62,4695.69,5728.32,"Middle Nass"
1996,2260.48,3280.12,4727.26,6479.36,7863.48,9563.27,"Middle Nass"
1997,2517.99,3884.89,5708.75,3253.36,4029.52,4992.13,"Middle Nass"
1998,2325.18,3448.89,4964.22,6158.31,7414.35,8976.78,"Middle Nass"
1999,1309.79,2028.11,3082.21,2819.14,3468.3,4278.4,"Middle Nass"
2000,2111.02,2997.14,4231.8,5166.32,6197.88,7457.98,"Middle Nass"
2001,2490.39,3613.33,5094.54,3909.18,4780.56,5870.34,"Middle Nass"
2002,1896.5,2720.44,3876.25,6710.85,7955.53,9529.65,"Middle Nass"
2003,2385.85,3472.69,4900.55,2536.19,3232.07,4164.23,"Middle Nass"
2004,1744.39,2450.08,3396.23,5002.58,6213.05,7720.82,"Middle Nass"
2005,1729.09,2535.33,3673.66,2618.31,3245.23,4004.68,"Middle Nass"
2006,2338.2,3385.87,4782.63,2508.5,3097.19,3816.23,"Middle Nass"
2007,2993.55,3806.68,4843.45,2380.77,2919.3,3553.07,"Middle Nass"
2008,1994.7,3240.32,4954.02,1467.32,1796.86,2201.14,"Middle Nass"
2009,2436.48,3360.39,4562.74,3200.75,3803.12,4491.08,"Middle Nass"
2010,1713.47,2443.59,3326.63,4847.32,5808.1,6998.85,"Middle Nass"
2011,1170.47,1741.37,2534.96,3677.77,4498.39,5565.88,"Middle Nass"
2012,828.04,1228.41,1795.27,1313.87,1664.75,2096.33,"Middle Nass"
2013,1280.08,1642.01,2098.99,3278.27,3991.18,4892.54,"Middle Nass"
2014,1917.32,2521.45,3296.17,3874.56,4636.52,5623.07,"Middle Nass"
2015,1837.49,2737.95,3986.34,2985.17,3578.98,4280.89,"Middle Nass"
2016,1264.29,1902.73,2765.55,3747.09,4462.88,5306.79,"Middle Nass"
2017,853.98,1274.67,1889.82,1877.57,2296.41,2820.84,"Middle Nass"
2018,2063.76,2844.52,3886.7,2706.41,3254.61,3917.82,"Middle Nass"
2019,1793.99,2349.64,3068.04,2792.99,3353.37,4003.16,"Middle Nass"
2020,1937.36,2546.34,3324.21,3753.13,4604.14,5647.33,"Middle Nass"
2021,1343.61,1878.93,2582.12,2592.59,3700.02,5295.66,"Middle Nass"
1984,2195.35,4030.52,7082.05,21838.2,27157.26,33525.07,"Middle Skeena"
1985,1808.1,3238.25,5871.84,4237.34,5648.18,7446.68,"Middle Skeena"
1986,3073.53,5152.49,8730.33,23955.29,29215.73,35804.36,"Middle Skeena"
1987,9405.72,15229.84,24549.47,18929.24,23626.61,29702.4,"Middle Skeena"
1988,6696.69,10812.25,17012.98,40446.46,50411.07,62011.74,"Middle Skeena"
1989,6587.83,10807.71,17719.11,17375.58,22120.87,27810.07,"Middle Skeena"
1990,3100.63,5262.16,8669.9,12569.33,15993.35,20296.93,"Middle Skeena"
1991,3924.95,6411.15,10405.35,21619.45,27137.37,33871.77,"Middle Skeena"
