"brood_year","lwr","mid","upr","CU","model"
1992,3.80356365012954,7.49444239595655,13.9673671183206,"Kitsumkalum","spw"
1993,3.9483720544874,7.59622719449206,13.7553410622453,"Kitsumkalum","spw"
1994,4.14828452794255,7.75535965036932,13.8718409692251,"Kitsumkalum","spw"
1995,4.58935507680571,8.27942224999357,14.2887352276717,"Kitsumkalum","spw"
1996,4.81419869648024,8.58415569830276,14.5208775749458,"Kitsumkalum","spw"
1997,4.71236125644728,8.28795478616205,13.7187754040948,"Kitsumkalum","spw"
1998,4.71341492854868,8.45693933118373,14.3206727733471,"Kitsumkalum","spw"
1999,4.42795649178587,7.96788428636603,13.6121878110389,"Kitsumkalum","spw"
2000,4.32047781850736,7.87836590395987,13.8132855477113,"Kitsumkalum","spw"
2001,4.05143208626411,7.51008638654102,13.3581381779396,"Kitsumkalum","spw"
2002,3.95897590409613,7.35297728750514,13.2173902735956,"Kitsumkalum","spw"
2003,3.58625472062703,6.87143037140065,12.3390196104847,"Kitsumkalum","spw"
2004,3.49072656542238,6.58271820424972,11.9111068721594,"Kitsumkalum","spw"
2005,3.3331997383922,6.27168842671081,11.2996216161486,"Kitsumkalum","spw"
2006,3.37173531906948,6.24223767344899,11.0495556741117,"Kitsumkalum","spw"
2007,3.2972629334568,5.98523653568775,10.5658526683175,"Kitsumkalum","spw"
2008,3.3463518574909,5.89235799741993,10.279217876927,"Kitsumkalum","spw"
2009,3.2079835966182,5.62842682572407,9.86841906436212,"Kitsumkalum","spw"
2010,3.26912998837625,5.67510164386269,9.87142672196572,"Kitsumkalum","spw"
2011,3.0203061111962,5.34219810257274,9.54805209687614,"Kitsumkalum","spw"
2012,2.79911261616413,5.08223048521057,9.34046730384312,"Kitsumkalum","spw"
2013,2.80012529442209,5.08939164614131,9.54073856099775,"Kitsumkalum","spw"
2014,2.91742378539978,5.33828642626119,9.93728497748159,"Kitsumkalum","spw"
2015,2.84073627056991,5.38202386358035,10.240779143469,"Kitsumkalum","spw"
2016,2.77520472518919,5.39062820160375,10.5296264594383,"Kitsumkalum","spw"
2017,2.69022076420527,5.45568011034383,10.7863436427619,"Kitsumkalum","spw"
2018,2.60927198565586,5.43707036056783,11.0075605662303,"Kitsumkalum","spw"
2019,2.5407572529848,5.47044541646706,11.1556780852905,"Kitsumkalum","spw"
1992,2.29542351535659,5.0295534516029,12.1112619125145,"Large Lakes","spw"
1993,2.31856207674323,5.04457596520866,11.5902875425735,"Large Lakes","spw"
1994,2.37391785561165,5.05671252659136,11.1396281161009,"Large Lakes","spw"
1995,2.50592682560913,5.25250740837379,11.3057070905981,"Large Lakes","spw"
1996,2.59853782484401,5.34536208731225,11.0420781284504,"Large Lakes","spw"
1997,2.58222755663101,5.06657002730248,9.87803888539415,"Large Lakes","spw"
1998,2.66532474128897,5.21977185902049,10.2261734045016,"Large Lakes","spw"
1999,2.59440450465888,4.8823009142024,9.26885459979871,"Large Lakes","spw"
2000,2.52519207946733,4.76560271883574,9.32137235419226,"Large Lakes","spw"
2001,2.38831189233098,4.33490555660189,8.39602322099928,"Large Lakes","spw"
