Year,Method,Area,stock,gsi,sd,N
2007,MS,COASTAL,Kincolith   ,0.005,0.0055,3
2007,MS,LOWER,Ishkheenickh,0.0208,0.00775,12
2007,MS,MIDDLE,Seaskinnish ,0.1006,0.022,56
2007,MS,MIDDLE,Tseax       ,0.0833,0.01575,47
2007,MS,UPPER,Cranberry   ,0.1168,0.0335,65
2007,MS,UPPER,Damdochax   ,0.0468,0.025,26
2007,MS,UPPER,Kiteen      ,0.2476,0.0335,138
2007,MS,UPPER,Kwinageese  ,0.172,0.03125,96
2007,MS,UPPER,Meziadin    ,0.0806,0.02075,45
2007,MS,UPPER,Owegee      ,0.1168,0.03525,65
2007,MS,UPPER,Snowbank    ,0.0097,0.00525,5
2007,MS,UPPER,Teigen      ,0,0.00375,0
2010,MS,COASTAL,Kincolith,0.0117,0.0065,4
2010,MS,LOWER,Ishkheenickh,0.0212,0.01275,8
2010,MS,MIDDLE,Seaskinnish,0.0106,0.0075,4
2010,MS,MIDDLE,Tseax,0.0502,0.016,18
2010,MS,UPPER,Cranberry,0.1475,0.03725,53
2010,MS,UPPER,Damdochax,0.1961,0.037,70
2010,MS,UPPER,Kiteen,0.1827,0.039,66
2010,MS,UPPER,Kwinageese,0.2018,0.0365,72
2010,MS,UPPER,Meziadin,0.0709,0.02225,25
2010,MS,UPPER,Owegee,0.0967,0.02825,35
2010,MS,UPPER,Snowbank,0,0.00125,0
2010,MS,UPPER,Teigen,0.0107,0.005,4
2011,MS,COASTAL,Kincolith,0.0063,0.00475,3
2011,MS,LOWER,Ishkheenickh,0.0192,0.00775,10
2011,MS,MIDDLE,Seaskinnish,0.0067,0.006,3
2011,MS,MIDDLE,Tseax,0.0171,0.01,9
2011,MS,UPPER,Cranberry,0.2261,0.0415,113
2011,MS,UPPER,Damdochax,0.1454,0.02975,73
2011,MS,UPPER,Kiteen,0.2118,0.03,106
2011,MS,UPPER,Kwinageese,0.1307,0.02975,65
2011,MS,UPPER,Meziadin,0.1296,0.0255,65
2011,MS,UPPER,Owegee,0.102,0.02325,51
2011,MS,UPPER,Snowbank,0.0029,0.003,1
2011,MS,UPPER,Teigen,0.0021,0.0045,1
2012,MS,COASTAL,Kincolith,0.0041,0.004,2
2012,MS,LOWER,Ishkheenickh,0.0383,0.013,19
2012,MS,MIDDLE,Seaskinnish,0.0105,0.00825,5
2012,MS,MIDDLE,Tseax,0.0427,0.01125,21
2012,MS,UPPER,Cranberry,0.1441,0.032,72
2012,MS,UPPER,Damdochax,0.218,0.0335,109
2012,MS,UPPER,Kiteen,0.2084,0.03,104
2012,MS,UPPER,Kwinageese,0.1436,0.02425,72
2012,MS,UPPER,Meziadin,0.0874,0.024,44
2012,MS,UPPER,Owegee,0.0951,0.02675,48
2012,MS,UPPER,Snowbank,0.0045,0.00325,2
2012,MS,UPPER,Teigen,0.0033,0.00375,2
2013,MS,COASTAL,Kincolith   ,0.003,0.0013,1
2013,MS,LOWER,Ishkheenickh,0.032,0.0079,16
2013,MS,MIDDLE,Seaskinnish ,0.098,0.0166,49
2013,MS,MIDDLE,Tseax       ,0.031,0.0086,16
2013,MS,UPPER,Cranberry   ,0.045,0.0249,22
2013,MS,UPPER,Damdochax   ,0.141,0.0242,70
2013,MS,UPPER,Kiteen      ,0.289,0.0423,144
2013,MS,UPPER,Kwinageese  ,0.185,0.0292,92
2013,MS,UPPER,Meziadin    ,0.062,0.0187,31
2013,MS,UPPER,Owegee      ,0.096,0.0217,48
2013,MS,UPPER,Snowbank    ,0.012,0.0169,6
2013,MS,UPPER,Teigen      ,0.007,0.0224,3
2014,MS,COASTAL,Kincolith,0.003,0.0041,1
2014,MS,LOWER,Ishkheenickh,0.032,0.0101,13
2014,MS,MIDDLE,Seaskinnish,0.068,0.0189,27
2014,MS,MIDDLE,Tseax,0.09,0.0153,36
2014,MS,UPPER,Cranberry,0.298,0.0404,119
2014,MS,UPPER,Damdochax,0.092,0.0253,37
2014,MS,UPPER,Kiteen,0.111,0.0328,44
2014,MS,UPPER,Kwinageese,0.11,0.0249,44
2014,MS,UPPER,Meziadin,0.089,0.0203,36
2014,MS,UPPER,Owegee,0.058,0.0212,23
2014,MS,UPPER,Snowbank,0.045,0.0262,18
2014,MS,UPPER,Teigen,0.005,0.0111,2
2017,MS,COASTAL,Kincolith,0.003,0.0057,1
2017,MS,LOWER,Ishkheenickh,0.072,0.0189,16
2017,MS,MIDDLE,Seaskinnish,0.093,0.04,20
2017,MS,MIDDLE,Tseax,0.125,0.024,27
2017,MS,UPPER,Cranberry,0.153,0.0374,33
2017,MS,UPPER,Damdochax,0.124,0.047,27
2017,MS,UPPER,Kiteen,0.149,0.0466,32
2017,MS,UPPER,Kwinageese,0.09,0.0326,19
2017,MS,UPPER,Meziadin,0.047,0.0267,10
2017,MS,UPPER,Owegee,0.023,0.0202,5
2017,MS,UPPER,Snowbank,0.082,0.0412,18
2017,MS,UPPER,Teigen,0.038,0.0485,8
2018,MS,COASTAL,Kincolith,0,0.0016,0
2018,MS,LOWER,Ishkheenickh,0.034,0.0126,11
2018,MS,MIDDLE,Seaskinnish,0.092,0.026,29
2018,MS,MIDDLE,Tseax,0.091,0.0179,28
2018,MS,UPPER,Cranberry,0.185,0.0435,58
2018,MS,UPPER,Damdochax,0.116,0.0349,36
2018,MS,UPPER,Kiteen,0.2,0.042,62
2018,MS,UPPER,Kwinageese,0.116,0.028,36
2018,MS,UPPER,Meziadin,0.033,0.0174,10
2018,MS,UPPER,Owegee,0.018,0.0223,6
2018,MS,UPPER,Snowbank,0.052,0.0323,16
2018,MS,UPPER,Teigen,0.063,0.0308,20
2019,SNP,COASTAL,Kateen,0,0.0003,0
2019,SNP,COASTAL,Kincolith,0,0.0008,0
2019,SNP,COASTAL,Kwinamass,0.0001,0.0008,0
2019,SNP,LOWER,Ishkheenickh,0.0153,0.0071,7
2019,SNP,MIDDLE,Seaskinnish,0.1214,0.0177,54
2019,SNP,MIDDLE,Tseax,0.073,0.0129,33
2019,SNP,UPPER,Cranberry,0.1121,0.0236,50
2019,SNP,UPPER,Damdochax,0.1517,0.0204,68
2019,SNP,UPPER,Kiteen,0.2415,0.0283,108
2019,SNP,UPPER,Kwinageese,0.1058,0.0195,47
2019,SNP,UPPER,Meziadin,0.0572,0.016,26
2019,SNP,UPPER,Owegee,0.0794,0.0188,36
2019,SNP,UPPER,Snowbank,0.0425,0.0153,19
2020,SNP,COASTAL,Kateen,0.0091,0.0053,3
2020,SNP,COASTAL,Kincolith,0.0003,0.0016,0
2020,SNP,COASTAL,Kwinamass,0,0.0008,0
2020,SNP,LOWER,Ishkheenickh,0.0074,0.0052,2
2020,SNP,MIDDLE,Seaskinnish,0.1308,0.0212,42
2020,SNP,MIDDLE,Tseax,0.0643,0.0141,21
2020,SNP,UPPER,Cranberry,0.0878,0.0214,28
2020,SNP,UPPER,Damdochax,0.1559,0.0259,50
2020,SNP,UPPER,Kiteen,0.1833,0.0268,59
2020,SNP,UPPER,Kwinageese,0.1409,0.0249,45
2020,SNP,UPPER,Meziadin,0.116,0.0211,37
2020,SNP,UPPER,Owegee,0.0717,0.0194,23
2020,SNP,UPPER,Snowbank,0.0326,0.0149,11
2021,SNP,COASTAL,Kateen,0.0001,0.0012,0
2021,SNP,COASTAL,Kincolith,0,0.001,0
2021,SNP,COASTAL,Kwinamass,0,0.0009,0
2021,SNP,LOWER,Ishkheenickh,0.0091,0.006,3
2021,SNP,MIDDLE,Seaskinnish,0.0489,0.0167,14
2021,SNP,MIDDLE,Tseax,0.0278,0.0108,8
2021,SNP,UPPER,Cranberry,0.1326,0.0269,38
2021,SNP,UPPER,Damdochax,0.1605,0.0282,46
2021,SNP,UPPER,Kiteen,0.1943,0.0308,56
2021,SNP,UPPER,Kwinageese,0.2302,0.0317,66
2021,SNP,UPPER,Meziadin,0.0836,0.0199,24
2021,SNP,UPPER,Owegee,0.0687,0.0207,20
2021,SNP,UPPER,Snowbank,0.0442,0.0183,13
2022,SNP,COASTAL,Kateen,0.004,0.005,1
2022,SNP,COASTAL,Kincolith,0,0.001,0
2022,SNP,COASTAL,Kwinamass,0,0.001,0
2022,SNP,LOWER,Ishkheenickh,0.019,0.01,5
2022,SNP,MIDDLE,Seaskinnish,0.094,0.023,25
2022,SNP,MIDDLE,Tseax,0.057,0.015,15
